showid,name,season,release_year,episode_count,synopsis
70281312,The Blacklist,Season 9,2021,22,"Two years after the tragic events of the previous season, the task force is disbanded and Red's whereabouts are unknown — until a new threat emerges."
70281312,The Blacklist,Season 10,2023,22,America's favorite criminal hangs up his hat — but not before a Blacklister recruits a deadly team to get revenge on him for putting them behind bars.
70294800,Barbie Life in the Dreamhouse,Season 1,2012,12,Join blond icon Barbie and her fabulous friends as their behind-the-scenes adventures are revealed in this animated Web series.
70300472,Hunter X Hunter (2011),Season 1,2011,26,"Young Gon seeks to become a Hunter, one who is skilled at finding rare items and elusive individuals. To do that, he must first pass a difficult test."
70300472,Hunter X Hunter (2011),Season 2,2012,12,Gon and Killua go to Heavens Arena -- the site of round-the-clock fighting tournaments -- and learn about an energy that manifests superhuman powers.
70300472,Hunter X Hunter (2011),Season 3,2012,20,"At the world's largest auction in Yorknew City, Gon, Killua and Leorio try to buy a video game that could help Gon find his father."
70300472,Hunter X Hunter (2011),Season 4,2012,17,Gon and Killua join a team financed by a billionaire and are trained by a 57-year-old Nen master who looks like a 12-year-old girl.
70300472,Hunter X Hunter (2011),Season 5,2013,61,"When Gon, Killua and Kite are hired to investigate a strange insect leg that washed ashore, genetic testing links it to an abnormally large ant."
70300472,Hunter X Hunter (2011),Season 6,2014,12,"As the Zodiacs gather to elect a new chairman of the Hunter Association, Gon's friends and allies race to save his life."
70303287,Autumn's Concerto,Season 1,2009,34,"When a tragedy forces a man to undergo brain surgery, his mother tells the girl he loves that he won't remember her after and she should leave him."
80000603,Naruto Shippuden,Season 1,2007,32,"Naruto Uzumaki and his team undertake a new challenge, fighting the sinister Akatsuki organization to save Gaara, a village leader."
80000603,Naruto Shippuden,Season 2,2007,21,"The Konoha ninja have returned, but Naruto must find a new team member when Kakashi is hospitalized. They trek to Tenchi Bridge to meet Sasori's spy."
80000603,Naruto Shippuden,Season 3,2008,18,"Kakashi has a new training program for Naruto, who has been having nightmares about the demon fox. The team meets Sora, a monk with a troubling past."
80000603,Naruto Shippuden,Season 4,2008,17,"The Akatsuki are on the move again, searching for the hosts of the tailed-beasts. Naruto continues his training and learns its true purpose."
80000603,Naruto Shippuden,Season 5,2008,24,"Konoha, Akatsuki and Team Guren all work to capture the Three-Tails and seal it in its own dimension. A young orphan's abilities may hold the key."
80000603,Naruto Shippuden,Season 6,2009,31,"A powerful Sasuke prepares for showdowns with his mentor and his brother, and Naruto's team discovers a mysterious forbidden jutsu."
80000603,Naruto Shippuden,Season 7,2010,8,"Sasuke's jealousy of Naruto causes a rift. While Team 7 and Team 10 work together to help a struggling village, a shocking truth comes to light."
80000603,Naruto Shippuden,Season 8,2011,24,"Blood is shed as Danzo fatefully encounters Sasuke. Later, Naruto intervenes when Sakura’s life is threatened."
80000603,Naruto Shippuden,Season 9,2012,21,"As the Fourth Ninja World War looms on the horizon, Anko falls into the wrong hands while spying on Akatsuki headquarters."
80000603,Naruto Shippuden,Season 10,2013,25,"While fighting in separate locations, Sakura, Shikamaru and Kiba encounter a strange boy who can control the weather -- and he seems to know them."
80000603,Naruto Shippuden,Season 11,2017,21,"With the Fourth Shinobi World War now over and Kakashi sworn in as the Sixth Hokage, the people of the Hidden Leaf Village welcome a new era."
80000603,Naruto Shippuden,Season 12,2012,33,"With the truth of the Fourth Shinobi World War kept from him, Naruto is confined to a secret island where he trains to control his demon fox."
80000603,Naruto Shippuden,Season 13,2012,20,"Naruto joins the war and heads into battle, but Tobi and the stealthy white Zetsu under his control are not easily defeated."
80000603,Naruto Shippuden,Season 14,2013,25,"The Fourth Shinobi World War continues, with strange weather wreaking havoc on the battlefield."
80000603,Naruto Shippuden,Season 15,2013,28,"Kabuto revives an overwhelming force in the form of Madara, who pursues Naruto in order to reclaim Kyubi, the nine-tailed demon fox."
80000603,Naruto Shippuden,Season 16,2014,13,"Kakashi is assigned to the ANBU and is charged with protecting Kushina Uzumaki, who is expecting a happy event."
80000603,Naruto Shippuden,Season 17,2014,11,"Orochimaru reincarnates the four Hokage elders, including Naruto's father, Minato. Hashirama reveals his history with Madara."
80000603,Naruto Shippuden,Season 18,2014,21,"Having taken control of Jubi, Obito obtains immeasurable power. Naruto, Minato and the others must do everything they can to stop him."
80000603,Naruto Shippuden,Season 19,2015,20,"Held jointly in Konoha and Suna, a new round of Chunin exams begin. Secretly, the organizers hope the exams will lure out Akatsuki."
80000603,Naruto Shippuden,Season 20,2015,66,"In a confrontation with Naruto, Obito begins to see the error of his ways, but his path to redemption is not so easy."
80000603,Naruto Shippuden,Season 21,2016,21,"This season takes a look at the childhood days of various characters. Then, Naruto and Hinata celebrate their wedding, but not everyone can attend."
70281562,Brooklyn Nine-Nine,Season 1,2013,22,Talented but laid-back detective Jake Peralta and his dysfunctional peers struggle to get along under their precinct's strict new captain.
70281562,Brooklyn Nine-Nine,Season 2,2014,23,"In Season 2, Jake smokes out a mole in the precinct, Amy finds a flaw in one of Holt's old cases, and the precinct gets antiterrorism training."
70281562,Brooklyn Nine-Nine,Season 3,2015,23,"After Holt's transfer, the precinct isn't happy with his replacement. Amy and Jake adjust to romance, while personnel changes shake up the department."
70281562,Brooklyn Nine-Nine,Season 4,2016,22,"While the Nine-Nine tries to keep a lid on things in Brooklyn, Jake and Holt are in a witness protection program in Florida, where Holt is thriving."
70281562,Brooklyn Nine-Nine,Season 5,2017,22,"After a nightmare stint in prison for a crime he didn't commit, Jake returns to the Nine-Nine, where personal and professional changes are afoot."
70281562,Brooklyn Nine-Nine,Season 6,2019,18,"As Jake and Amy adjust to married life and Holt squares off with a rival, the hijinks, heists and crime-fighting continue at the Nine-Nine."
70281562,Brooklyn Nine-Nine,Season 7,2020,13,"Jake and Amy rethink their family plans, Holt chafes over his demotion, and the squad sees the return of old pals and nemeses amid the usual shenanigans."
70281562,Brooklyn Nine-Nine,Season 8,2021,10,"In the show's final season, Jake, Amy and the rest of the squad balance personal and professional challenges with their usual shenanigans. Nine-Niiiine!"
70243420,The Amazing World of Gumball,Season 1,2011,18,"Gumball, a 12-year-old cat, and his friend Darwin, a goldfish, have one bizarre adventure after another in this off-the-wall animated comedy."
70243420,The Amazing World of Gumball,Season 2,2012,20,"Gumball the cat and Darwin the fish find more adventures in a season that includes an escaped giant, buried treasure and an injured Santa Claus."
80014749,Rick and Morty,Season 1,2013,11,"Brilliant scientist Rick takes his fretful teenage grandson, Morty, on wild misadventures in other worlds and alternate dimensions."
80014749,Rick and Morty,Season 2,2015,10,"After Rick and Morty decided to unfreeze time, they must deal with alien parasites, alternate Jerrys and a decaying, possibly non-existent dimension."
80014749,Rick and Morty,Season 3,2017,10,"Rick and Morty travel to Atlantis and take some time to relax, plus Rick turns himself into a pickle and faces off against the president."
80014749,Rick and Morty,Season 4,2019,10,Everything and nothing makes sense when bizarre genius Rick and his grandson Morty take more interdimensional journeys that bend time and space.
80014749,Rick and Morty,Season 5,2021,10,Everything and nothing makes sense when bizarre genius Rick and his grandson Morty take more interdimensional journeys that bend time and space.
80014749,Rick and Morty,Season 6,2022,10,"Worse for wear and down on their luck, Rick and Morty attempt to bounce back for more intriguing adventures, possibly involving a bunch of dinosaurs."
80014749,Rick and Morty,Season 7,2023,10,"With the help of his grandson Morty, Rick travels across the multiverse to avenge his wife and daughter and take on his greatest nemesis yet: himself."
80025494,Peppa Pig,Season 1,2004,13,"In the world of Peppa Pig, days are far from ordinary, especially when there are puddles to be splashed in, games to play and friends to visit."
80025494,Peppa Pig,Season 2,2006,13,"Join Peppa the precocious piglet on all-new adventures, including a sleepover, a field trip to the mountains and a trip to Daddy Pig's office."
80025494,Peppa Pig,Season 3,2009,6,"Peppa has lots of fun adventures with her friends and family this season, from vacationing in a camper van to visiting the funfair and the museum."
80025494,Peppa Pig,Season 4,2010,7,"The Pigs ride on a rescue helicopter, Peppa and Suzy form a secret club, and Granny and Grandpa get a hand-me-down computer."
80025494,Peppa Pig,Season 5,2011,7,"In a new set of adventures, Peppa meets a kindly kangaroo, visits a potato-themed amusement park and endures a noisy night with baby Alexander."
80025494,Peppa Pig,Season 6,2019,7,"With her loving family and playful friends always ready to have fun and explore, Peppa travels to Italy, learns how to ski and even meets the Queen!"
80025923,El Cartel,Season 1,2008,57,"Trapped in the dangerous world of drug trafficking, Martín González decides to cooperate with the DEA to protect himself and his family."
80026226,PAW Patrol,Season 3,2015,26,"Exciting new adventures await the pups of the PAW Patrol, who receive the high-flying Air Patroller to help in their rescue missions."
80026226,PAW Patrol,Season 4,2017,26,"In their fourth season, Ryder and the proud pups of PAW Patrol set out to rescue penguins, kittens, a shark, and even a sleepwalking bear."
80031716,Good Doctor,Season 1,2013,20,"Shi-on has the mental capacity of a 10-year-old, but his savant-like abilities enable him to become a brilliant pediatric surgeon."
80047032,Pasión de Gavilanes,Season 1,2003,188,"When tragedy befalls three brothers, they seek vengeance on a powerful family, but a trio of beautiful women causes them to rethink their plans."
80047032,Pasión de Gavilanes,Season 2,2022,82,"Twenty years later, the love and loyalty of the Reyes-Elizondo family are put to the test when two of their children are accused of murder."
80061132,Superstore,Season 1,2016,11,"At a big-box megastore in St. Louis, a group of employees with larger-than-life personalities put up with customers, day-to-day duties and each other."
